,Code,PT,DOMES,Description,Lat,Lon,Height
3881,MNRT,A,77000P804,ROTHSAY,46 29 25.8,263 42 31.3,345.2
3882,MNSB,A,77000P806,STARBUCK,45 29 17.6,264 26 16.2,363
3883,KYW5,A,49852S005,Key West 5,24 34 56.1,278 20 49.0,-13.6
3884,KERG,A,91201M002,"Port aux Francais, Ker",-49 21 05.2,70 15 19.8,73
3885,MIKS,A,77000P715,Hudson,41 51 02.6,275 38 55.3,245.5
3886,PCK6,A,77001P471,Pickford 6,46 03 53.9,275 38 16.8,215.9
3887,GUS5,A,77000P393,Gustavus 5,58 25 02.9,224 18 09.5,20
3888,P150,A,77001P264,MartisPeakCN2008,39 17 32.5,239 57 58.1,2619.1
3889,MIDV,A,49682S001,Midvale,40 37 16.0,248 05 33.9,1311.5
3890,DDSN,A,49765M001,DDSN_PNGA_OR1999,43 07 07.6,236 45 20.7,953.1
3891,MSD1,A,40552M001,San Jose De WAAS,23 09 37.6,250 16 56.4,103.8
3892,CHB5,A,77000P240,Cheboygan 5,45 39 12.5,275 32 03.6,145.2
3893,WARR,A,77001P845,WARREN,42 32 02.4,276 58 46.6,157.2
3894,SASK,A,40167M001,Saskatoon,52 11 46.5,253 36 05.9,578.9
3895,MSSB,A,77000P937,Scooba,32 49 46.4,271 30 46.0,49.1
3896,P351,A,77001P338,Galena_Su_ID2008,43 52 27.8,245 16 51.0,2692.6
3897,AC13,A,77000P039,ChirikofIsAK2008,55 49 18.8,204 22 39.3,222.8
3898,P149,A,77001P263,BabbittPk_CN2008,39 36 07.6,239 53 42.0,2634.7
3899,P151,A,77001P265,SierraArmyCN2008,40 17 20.0,239 55 21.8,1313.1
3900,ZOA1,A,49697S001,Oakland 1,37 32 34.9,237 59 02.5,-3.9
3901,STB5,A,77001P590,Sturgeon Bay 5,44 47 43.7,272 41 08.4,149
3902,KNGS,A,40161M001,Kingston,44 13 07.2,283 28 57.8,48.8
3903,NJI2,A,49795S002,New Jersey Institute o,40 44 29.3,285 49 20.2,16.7
3904,ADKS,A,49446M001,Addicks 1795 CORS ARP,29 47 27.4,264 24 48.9,2.8
3905,GDAC,A,49882S001,Granada,37 46 31.6,257 49 11.9,1134.3
3906,CMP9,A,49905M003,CMP9,34 21 11.4,241 35 18.8,1138
3907,BIS6,A,77000P196,Biorka Island 6,56 51 15.5,224 27 37.5,66.6
3908,OKSY,A,77001P189,Sayre,35 18 53.9,260 21 44.3,566.1
3909,PTSG,A,49769M001,Point St. George,41 46 57.8,235 44 41.2,-10.2
3910,INEG,A,40507M001,"Aguascalientes, Mexico",21 51 22.1,257 42 56.8,1887.8
3911,MAL2,A,33201M003,"Malindi, KE",-2 59 45.7,40 11 38.9,-20.9
3912,WHN5,A,77001P851,Whitney 5,42 44 21.5,256 40 16.3,1053.7
3913,TXBM,A,49580S001,Beaumont RRP2,30 09 42.1,265 49 13.0,-12
3914,MNEM,A,77000P776,EMILY,46 41 17.0,266 02 43.7,357
3915,MNVN,A,77000P813,VERNDALE,46 24 48.3,264 56 43.5,386
3916,NJMU,A,77001P065,Monroe MUA,40 18 11.6,285 31 56.6,9.4
3917,AC60,A,77000P063,Westeast__AK2008,52 42 52.6,174 04 34.5,18.3
3918,NYCS,A,77001P100,Cobleskill,42 40 02.8,285 30 49.0,269.5
3919,NYHL,A,77001P109,Hailesboro,44 18 31.5,284 33 02.2,116.4
3920,NYIL,A,77001P112,Indian Lake,43 46 57.6,285 43 20.1,500.7
3921,TFNO,A,40191M001,"Tofino, British Colum",49 09 14.9,234 05 31.7,-3.9
3922,NYSB,A,77001P129,SHERBURNE,42 40 45.0,284 29 12.5,295.9
3923,NYNB,A,77001P120,Newburgh,41 29 42.8,285 58 28.0,22
3924,NYRB,A,77001P126,RAY BROOK,44 18 13.9,285 55 17.9,465.7
3925,ZME1,A,77001P923,Memphis WAAS 1,35 04 02.6,270 02 40.6,68.2
3926,KST5,A,77000P551,Topeka 5,39 02 40.5,263 57 39.1,302.9
3927,KEW5,A,77000P542,Upper Keweenaw 5,47 13 37.4,271 22 32.4,163.8
3928,AB36,A,77000P021,Manley_HotAK2006,65 01 49.4,209 15 21.6,816.5
3929,URUM,A,21612M001,"Urumqi, China",43 48 28.6,87 36 02.4,858.9
3930,SCH2,A,40133M002,"SCHEFFERVILLE, CANADA",54 49 55.5,293 10 02.5,498.3
3931,GLPS,A,42005M002,"Puerto Ayora, Ecuador",-0 44 34.7,269 41 46.7,1.8
3932,AB46,A,77000P027,ArcticVilgAK2007,68 07 14.4,214 25 55.5,647.9
3933,CALU,A,77000P219,Calumet Harbor,41 43 47.4,272 27 41.6,147.9
3934,LHAZ,A,21613M002,"Lhasa, China",29 39 26.3,91 06 14.5,3624.6
3935,NYWG,A,77001P133,Watkins Glen,42 21 03.8,283 07 26.6,282.4
3936,NYWV,A,77001P136,WAVERLY,42 00 44.6,283 28 42.3,221
3937,SUM5,A,77001P605,Summerfield 5,34 49 30.2,257 29 17.6,1163.5
3938,NCST,A,77001P009,Statesville,35 51 19.7,279 09 04.5,227.5
3939,TFNO,A,40191M001,"Tofino, British Colum",49 09 14.9,234 05 31.7,-3.9
3940,LONG,A,40485M001,"Irwindale, CA",34 06 42.8,241 59 47.7,74.3
3941,MNEM,A,77000P776,EMILY,46 41 17.0,266 02 43.7,357
3942,BKVL,A,49525S001,BROOKSVILLE,28 28 25.6,277 32 46.7,-6.6
3943,MILI,A,77000P717,Livonia,42 26 06.1,276 35 06.2,203.2
3944,NCWA,A,77001P014,Washington 2007,35 33 34.8,282 56 28.5,-26.8
3945,ACU6,A,49671M001,ACUSHNET 6,41 44 35.7,289 06 48.2,5
3946,RPT6,A,77001P526,Robinson Point 6,47 23 13.9,237 37 29.9,-9.8
3947,WHD6,A,77001P850,Whidbey Island 6,48 18 44.7,237 18 13.8,10.7
3948,POT6,A,77001P491,Potato Point 6,61 03 22.7,213 18 09.5,37.2
3949,OMH6,A,77001P194,Omaha 6,41 46 42.6,264 05 18.6,397.4
3950,CHB6,A,77000P241,Cheboygan 6,45 39 13.3,275 32 02.9,144.9
3951,KEW6,A,77000P543,Upper Keweenaw 6,47 13 38.2,271 22 33.1,163.8
3952,STB6,A,77001P591,Sturgeon Bay 6,44 47 43.4,272 41 07.9,149
3953,CME6,A,77000P259,Cape Mendocino 6,40 26 29.0,235 36 13.2,304
3954,PNR6,A,77001P486,Pine River 6,46 51 48.6,265 16 38.6,416.4
3955,YOU6,A,77001P907,Youngstown 6,43 13 52.5,281 01 48.7,61.5
3956,KST6,A,77000P552,Topeka 6,39 02 39.6,263 57 39.1,302.8
3957,SAL6,A,77001P538,Sallisaw 6,35 22 02.2,265 11 01.1,129.8
3958,LOU6,A,77000P596,Louisville 6,38 00 37.9,274 42 04.6,190.5
3959,MCD6,A,49778S006,Mac Dill 6,27 50 59.3,277 28 02.6,-15.7
3960,HRN6,A,77000P419,Hawk Run 6,40 52 40.2,281 49 07.4,588.2
3961,SCHY,A,49382M001,Longs,33 56 23.7,281 15 53.1,-17.5
3962,BRU6,A,77000P209,Brunswick 6,43 53 22.9,290 03 12.1,4.9
3963,HDF6,A,77000P408,Hudson Falls 6,43 16 15.8,286 27 39.2,42.6
3964,LOYF,A,77000P608,Loyola F,38 58 28.1,283 28 40.0,-15.8
3965,DEDT,A,77000P297,Dover DOT,39 08 52.3,284 29 44.3,-12.6
3966,NCTA,A,77001P012,Tarboro,35 52 56.9,282 25 38.5,-1.9
3967,CORB,A,49746S001,Corbin,38 12 07.8,282 37 35.4,35.9
3968,TN45,A,77001P645,TDOT District 45,35 17 57.3,270 20 25.3,62.9
3969,SVTL,A,12350M001,Svetloe,60 31 58.3,29 46 51.1,76.7
3970,STP6,A,77001P601,St Paul 6,44 18 13.3,268 05 48.4,353.2
3971,AIS6,A,77000P082,Annette Island 6,55 04 07.9,228 24 02.8,32.4
3972,STVI,A,82101M001,"St. Thomas, US Virgin",18 20 24.3,295 01 31.9,-21.5
3973,PNB5,A,77001P483,Penobscot 5,44 27 06.2,291 13 39.8,32.7
3974,PNB6,A,77001P484,Penobscot 6,44 27 07.2,291 13 40.0,32.3
3975,SAG6,A,77001P535,Saginaw 6,43 37 42.1,276 09 44.0,149.3
3976,ARP7,A,49878M001,Aransas Pass 7,27 50 18.0,262 56 27.7,-16.4
3977,ARP8,A,77000P143,Aransas Pass 8,27 50 18.1,262 56 26.7,-16.4
3978,STP5,A,77001P600,St Paul 5,44 18 14.2,268 05 48.0,353.9
3979,KYDH,A,77000P560,DALE HOLLOW SRP,36 38 18.8,274 42 06.9,257.8
3980,KYRR,A,77000P563,ROUGH RIVER SRP,37 36 35.9,273 29 51.2,149.7
3981,NCBE,A,77000P957,Beaufort,34 43 08.5,283 19 40.9,-29.3
3982,NCWL,A,77001P019,Wilson,35 42 26.3,282 04 02.8,9.8
3983,CUPR,A,82008M001,"Culebra Island, P",18 18 26.7,294 43 02.9,-30.4
3984,FTS6,A,77000P354,Fort Stevens 6,46 12 18.5,236 02 38.3,-13.5
3985,RIS5,A,77001P519,Rock Island 5,42 00 44.2,269 46 27.7,216.4
3986,RIS6,A,77001P520,Rock Island 6,42 00 44.3,269 46 29.8,216.3
3987,KEN6,A,77000P540,Kenai 6,60 40 29.2,208 38 59.4,56.7
3988,MNGR,A,77000P780,GRACEVILLE,45 33 29.8,263 30 21.3,310.9
3989,MINI,A,77000P730,Niles,41 48 33.7,273 46 34.4,200.8
3990,KYGB,A,77000P561,GREENBO LAKE SRP,38 28 50.2,277 07 35.9,183.1
3991,ABQ6,A,77000P032,Albuquerque 6,34 57 25.6,253 30 19.8,1720.6
3992,MCN6,A,77000P663,Macon 6,32 41 43.4,276 26 22.9,60.8
3993,SAV5,A,77001P544,Savannah 5,32 08 18.9,278 18 13.1,8.6
3994,ANG6,A,77000P126,Angleton 6,29 18 05.9,264 30 54.4,-9.2
3995,CBSB,A,80402M001,Cayman Brac Dist. Admi,19 42 43.2,280 10 01.0,-7.2
3996,MTP1,A,77000P946,Tapachula WAAS,14 47 28.9,267 37 55.2,54.5
3997,ASPA,A,50503S006,"Pago Pago, U.S.A.",-14 19 33.9,189 16 39.2,53.6
3998,MNGP,A,77000P779,GRAND RAPIDS,47 13 24.9,266 30 57.3,369.2
3999,TN21,A,77001P622,TDOT District 21,35 03 51.7,274 47 34.0,196.3
4000,TN38,A,77001P638,TDOT Murfreesboro,35 53 46.0,273 33 22.6,140.1
4001,NCNA,A,77000P991,Nashville,35 58 09.0,281 58 48.6,33.1
4002,KNS6,A,77000P546,Kensington 6,33 28 55.1,280 39 26.2,-20.4
4003,HCES,A,49791S001,Hillcrest Elementary S,36 19 57.3,270 49 41.6,77.9
4004,MCNE,A,77000P664,McNeese State Universi,30 10 50.0,266 46 56.1,-10
4005,PERT,A,50133M001,"Perth, Australia",-31 48 07.0,115 53 06.9,12.7
4006,P420,A,77001P349,FANTASYFD_WA2004,46 35 18.9,237 08 01.2,74.1
4007,PUR5,A,82001M003,Puerto Rico 5,18 27 46.7,292 55 58.9,89.7
4008,FREO,A,49644S001,Freeport,40 12 05.9,278 44 31.7,273.5
4009,OMH5,A,77001P193,Omaha 5,41 46 41.7,264 05 19.2,397.9
4010,VAGP,A,49467M002,VA Gloucester Pt,37 14 55.0,283 30 02.2,-21.2
4011,SCUN,A,77001P556,UNION,34 45 58.6,278 21 04.2,168.4
4012,AZSF,A,77000P177,Safford,32 48 07.3,250 17 17.1,897
4013,SAL6,A,77001P538,Sallisaw 6,35 22 02.2,265 11 01.1,129.8
4014,OMH6,A,77001P194,Omaha 6,41 46 42.6,264 05 18.6,397.4
4015,NJWC,A,77001P072,Warren County,40 48 03.1,284 55 07.4,78.6
4016,DEMI,A,77000P298,Millsboro,38 36 37.0,284 47 49.6,-27.4
4017,NJNT,A,77001P066,Neptune Township,40 12 33.6,285 57 48.3,-16.8
4018,OHTU,A,77001P173,TUSCARAWAS,40 27 25.4,278 35 31.9,235.1
4019,ISNA,A,77000P514,Iraq Survey Najaf,32 00 45.1,44 21 11.8,49.2
4020,NCCR,A,77000P966,Creswell,35 54 56.9,283 31 34.6,-29.6
4021,SCSR,A,77001P555,Ed Owens,33 55 22.0,279 39 33.4,35.2
4022,MIIW,A,77000P713,Ironwood,46 28 12.8,269 50 03.4,419.2
4023,MIO2,A,77000P733,MIO 2,44 38 50.7,275 51 04.6,286.1
4024,NCHE,A,77000P977,Hendersonville,35 21 21.9,277 29 55.9,653.1
4025,MIBO,A,77000P691,Boyne City,45 12 20.9,275 00 15.7,172.1
4026,MIOG,A,77000P734,West Branch,44 18 05.7,275 52 24.6,276.5
4027,MIMR,A,77000P725,Manchester,42 09 11.0,275 57 40.3,257.5
4028,CHIN,A,49582M001,Chin Key West,24 33 01.7,278 11 34.3,-15.1
4029,REUN,A,97401M003,"Le Tampon, France",-21 12 29.6,55 34 18.1,1558.4
4030,ANP5,A,49908M001,Annapolis 5,39 00 37.0,283 23 26.7,20.4
4031,MATE,A,12734M008,"Matera, Italy",40 38 56.8,16 42 16.0,535.7
4032,MIPR,A,77000P738,Caja De Muertos Island,17 53 10.4,293 28 22.9,-38.1
4033,ANP6,A,77000P128,Annapolis 6,39 00 37.8,283 23 27.2,21.6
4034,GVLT,A,49797S001,Greenville Technical C,34 49 46.9,277 37 44.6,248.9
4035,MCON,A,49633S001,McConnelsville,39 39 39.0,278 10 14.8,271.4
4036,AZBK,A,77000P159,MCDOT BUCKEYE,33 22 10.3,247 22 47.5,242.8
4037,EIL1,A,49805S001,Alaska NGA collocated,64 41 16.5,212 53 13.3,176.5
4038,KOD5,A,40419M003,Kodiak 5,57 37 03.6,207 48 23.6,27.2
4039,KHAR,A,12314M001,Kharkiv,50 00 18.3,36 14 20.4,201
4040,TALL,A,77001P608,TALLULAH,32 24 01.2,268 49 01.1,6.1
4041,PAPT,A,49535S001,OAKLAND,40 26 40.2,280 02 27.8,312.5
4042,AB17,A,77000P013,UnalakleetAK2008,63 53 10.8,199 18 18.9,117.4
4043,AJAC,A,10077M005,ajac 10077M005,41 55 38.8,8 45 45.4,98.8
4044,WOOS,A,49653S001,Wooster,40 47 55.0,278 02 14.6,233
4045,EIL1,A,49805S001,Alaska NGA collocated,64 41 16.5,212 53 13.3,176.5
4046,AC52,A,77000P059,PilotPointAK2007,57 34 02.0,202 25 32.8,51.8
4047,OHCO,A,77001P146,COSHOCTON,40 17 50.7,278 09 28.1,206.5
4048,RBUT,A,49885S001,Red Butte,40 46 51.8,248 11 28.4,1667.8
4049,COLA,A,49378M001,Columbia,34 04 51.5,278 52 41.9,81.6
4050,MIHT,A,77000P709,Hart,43 41 17.0,273 38 07.5,188.9
4051,MITS,A,77000P748,Stanton,43 18 04.7,274 54 46.0,262.1
4052,P506,A,77001P370,Ramer_LakeCS2005,33 04 53.1,244 29 23.2,-83.4
4053,AB48,A,77000P028,PortAlexanAK2005,56 14 42.2,225 21 10.8,5.3
4054,LOU5,A,77000P595,Louisville 5,38 00 37.0,274 42 04.2,191
4055,TXTI,A,77001P795,Tilden,28 28 04.9,261 26 08.5,57.9
4056,COH6,A,77000P277,HOUSTON 6 COOP,30 02 23.0,264 48 54.7,-10.3
4057,WMEL,A,77001P874,W MORGAN WTR COOP,34 31 24.7,272 55 08.9,180
4058,KAR2,A,77000P532,KARA CO 2 COOP,41 59 33.7,272 08 05.8,193.1
4059,MVCC,A,77000P951,MOHAWK VALLEY COOP,43 04 40.8,284 46 53.2,158.2
4060,FMTS,A,49390M001,MTS FRAM COOP,42 18 00.2,288 33 29.1,42.8
4061,XMTS,A,77001P901,MTS FOX COOP,42 03 50.0,288 44 58.3,66.7
4062,YMTS,A,77001P904,MTS YARMOUTH COOP,43 47 54.6,289 48 39.6,12.9
4063,AZBH,A,77000P158,Bullhead City,35 06 26.9,245 23 42.0,151.7
4064,NURK,A,34001M001,Kigali - Ruanda,-1 56 40.3,30 05 22.8,1483.8
4065,BGOH,A,77000P191,BOWLINGGREEN COOP,41 22 48.6,276 21 26.5,210.6
4066,MC04,A,77000P653,MESA CNTY 04 COOP,38 41 02.9,251 01 34.1,1400.9
4067,SAG5,A,77001P534,Saginaw 5,43 37 43.1,276 09 44.0,149.4
4068,GWN6,A,77000P398,Appleton 6,45 46 57.4,238 40 21.8,733.2
4069,SPN6,A,77001P585,Spokane 6,47 31 06.1,242 34 35.9,720.6
4070,P169,A,77001P273,FickleHillCN2004,40 47 28.1,236 01 56.4,689.4
4071,P170,A,77001P274,BALDMTN___CN2004,40 52 48.8,236 08 12.1,918.1
4072,AB22,A,77000P015,IlliamnaHPAK2006,59 53 57.5,205 18 06.2,199.8
4073,AC74,A,77000P070,Cantwello_AK2002,63 27 51.6,211 11 33.8,668.6
4074,TRAK,A,40480M001,Bommer Canyon,33 37 04.5,242 11 47.6,115.6
4075,MLF5,A,49484M002,Millers Ferry 5,32 05 24.9,272 36 29.4,9.2
4076,OTZ1,A,77001P203,Kotzebue WAAS,66 53 14.3,197 23 19.0,10.4
4077,STL7,A,77001P597,St Louis 7,38 36 40.7,270 14 27.9,167.6
4078,AL20,A,77000P083,ALDOT Second Division,34 42 37.1,272 20 14.2,131.9
4079,AL30,A,77000P084,ALDOT Third Division O,33 31 56.4,273 08 47.7,148.5
4080,AL40,A,77000P086,ALDOT 4 DIV OFF,32 57 45.6,273 59 37.3,210.9
4081,AL50,A,77000P087,ALDOT Fifth Division O,33 10 04.7,272 29 54.5,97.9
4082,AL60,A,77000P088,ALDOT 6 DIV OFF,32 24 40.9,273 43 46.0,44.7
4083,AL70,A,49445M001,ALDOT Seventh Division,31 46 57.8,274 02 05.4,141.9
4084,AL90,A,77000P094,ALDOT 9 DIV OFF,30 41 26.9,271 58 05.8,-17.4
4085,ENG5,A,77000P333,English Turn 5,29 52 44.2,270 03 29.7,-18.4
4086,ENG6,A,77000P334,English Turn 6,29 52 45.0,270 03 28.4,-18.4
4087,HAC5,A,77000P399,Hackelburg 5,34 16 49.9,272 08 38.5,253
4088,HAC6,A,77000P400,Hackleburg 6,34 16 50.8,272 08 38.6,252.4
4089,MSB6,A,77000P914,Bobo 6,34 06 51.3,269 18 35.0,24.1
4090,MSSB,A,77000P937,Scooba,32 49 46.4,271 30 46.0,49.1
4091,HTV6,A,77000P423,Hartsville 6,36 21 27.3,273 54 36.8,167.5
4092,WIS5,A,77001P866,Wisconsin Point 5,46 42 18.2,267 59 05.2,159.4
4093,KYW6,A,49852S006,Key West 6,24 34 56.3,278 20 49.9,-13.7
4094,MMX1,A,77000P760,Mexico City WAAS,19 25 53.9,260 55 53.7,2235.8
4095,MMD1,A,77000P759,Merida WAAS,20 55 54.8,270 20 13.7,28.7
4096,NBR5,A,49723M001,New Bern 5,35 10 30.5,282 56 59.8,-24.7
4097,MOR6,A,77000P884,Moriches 6,40 47 21.8,287 15 12.1,-23.9
4098,RED6,A,77001P515,Reedy Point 6,39 33 42.0,284 25 48.1,-27.2
4099,PUR6,A,82001M002,Puerto Rico 6,18 27 47.4,292 55 59.3,89.1
4100,CMP9,A,49905M003,CMP9,34 21 11.4,241 35 18.8,1138
4101,VAN6,A,77001P817,Vandenberg AFB 6,34 49 35.2,239 26 12.1,99.6
4102,ORID,A,15601M001,Ohrid / Macedonia,41 07 38.3,20 47 38.5,773
4103,MC01,A,77000P650,MESA CNTY COOP,39 05 28.4,251 28 18.6,1437.2
4104,MC02,A,77000P651,MESA CNTY 02 COOP,39 00 52.9,251 30 35.8,1490.4
4105,MC05,A,77000P654,MESA CNTY 05 COOP,38 44 22.4,251 55 37.2,1505
4106,CMOD,A,77000P260,MODESTO COOP,37 38 28.8,239 00 00.0,28.1
4107,UAAG,A,77001P808,U ALASKA COOP,61 11 27.8,210 10 33.2,66.4
4108,MORH,A,77000P885,Clay County Coop,46 53 03.1,263 14 10.3,265.2
4109,CSAL,A,77000P284,MONTICELLO COOP,33 35 31.1,268 11 06.7,65.5
4110,CCGE,A,77000P227,EAST COBB COOP,33 57 45.9,275 34 37.6,298.6
4111,CCGN,A,77000P228,NORTH COBB COOP,34 00 32.8,275 23 36.6,289.3
4112,CCGS,A,77000P229,SOUTH COBB COOP,33 50 24.6,275 23 17.4,297.9
4113,SCHA,A,49383M001,CHARLESTON PORTS,32 46 46.1,280 04 28.6,-14.6
4114,VINU,A,77001P825,VINCENNES COOP,38 41 21.4,272 28 37.0,105.5
4115,UMBC,A,49410M002,U OF MD BALT COOP,39 15 24.3,283 17 18.5,64.7
4116,RVDI,A,77001P529,RIVERSIDE COOP,41 02 31.1,286 25 07.6,-0.8
4117,CTA1,A,19708M001,CRAFTON TULL COOP,36 20 37.3,265 49 11.9,384
4118,EFAY,A,77000P330,APAC02 COOP,36 06 00.8,265 53 53.7,405.5
4119,LS04,A,77000P628,LOYOLA LS04,37 21 47.1,280 02 33.0,324.2
4120,NCDU,A,49846M001,Duck 3,36 10 54.0,284 14 55.1,-26.2
4121,NCPI,A,77000P995,PEA ISLAND,35 41 02.0,284 31 03.6,-32.5
4122,PWEL,A,40158M001,Port Weller,43 14 12.2,280 46 49.2,43.8
4123,MLF6,A,77000P757,Millers Ferry 6,32 05 25.8,272 36 28.0,29.4
4124,PARY,A,40157M001,Parry Sound,45 20 18.7,279 57 50.7,145
4125,BAY5,A,49804S005,Cold Bay 5,55 11 24.9,197 17 34.2,50.7
4126,KOD6,A,77000P547,Kodiak 6,57 37 03.3,207 48 22.0,27.2
4127,AC09,A,77000P036,KayakIsl__AK2007,59 52 06.5,215 28 34.1,368.9
4128,PTRF,A,77001P508,Port Renfrew,48 32 39.3,235 35 12.9,172.8
4129,PPT5,A,77001P493,Pigeon Point 5,37 11 13.5,237 36 36.1,8
4130,WVS6,A,77001P894,Saint Mary's,39 25 45.9,278 49 59.7,226.2
4131,DET5,A,77000P301,Detroit 5,42 17 50.4,276 54 16.9,145.2
4132,DET6,A,77000P302,Detroit 6,42 17 50.0,276 54 16.0,145.3
4133,P697,A,77001P424,MSH_SERDGEWA2004,46 11 15.5,237 49 24.2,2214.6
4134,LNC1,A,49531S001,Lincoln 1,38 50 47.4,238 38 59.1,5.9
4135,LNC2,A,49531S002,Lincoln 2,38 50 47.4,238 38 58.0,5.9
4136,IDBB,A,77000P457,Idaho Falls,43 28 53.8,247 57 30.2,1427.7
4137,FST5,A,77000P351,Flagstaff 5,35 13 18.3,248 10 57.3,2136.4
4138,VIC5,A,77001P823,Vicksburg 5,32 19 53.1,269 04 48.7,9.8
4139,VIC6,A,77001P824,Vicksburg 6,32 19 52.5,269 04 49.3,8.3
4140,WTZR,A,14201M010,"Bad Koetzting, Germany",49 08 39.1,12 52 44.0,666
4141,KUNM,A,21609M001,"Kunming, China",25 01 46.3,102 47 49.9,1986.2
4142,MNVI,A,77000P812,VIRGINIA,47 31 23.8,267 26 18.5,414.4
4143,AB45,A,77000P026,SagRivrDOTAK2007,68 45 37.7,211 07 43.8,507
4144,MNLC,A,77000P789,LITTLE CHICAGO,44 28 41.9,266 42 27.5,276.7
4145,HRAO,A,30302M004,"Krugersdorp, South Afr",-25 53 24.3,27 41 13.1,1414.1
4146,NCJA,A,77000P979,Jackson NC,36 24 30.5,282 33 44.6,11.9
4147,NCLU,A,77000P986,Lumberton,34 37 36.3,280 55 20.2,14.4
4148,AB09,A,49419M001,Razorback_AK2007,65 36 53.9,191 56 16.3,162.1
4149,P304,A,77001P315,MENDOTA___CN2004,36 44 20.4,239 38 36.2,17.2
4150,TN11,A,77001P612,TDOT District 11,36 21 41.9,277 36 26.0,447.9
4151,TN12,A,77001P613,TDOT District 12,36 14 52.9,276 42 48.9,335.9
4152,TN14,A,77001P615,TDOT District 14,36 24 27.3,275 56 05.3,328.3
4153,TN15,A,77001P616,TDOT District 15,36 00 08.2,276 13 46.0,270.2
4154,TN16,A,77001P617,TDOT District 16,35 54 09.8,275 23 55.6,216.6
4155,TN21,A,77001P622,TDOT District 21,35 03 51.7,274 47 34.0,196.3
4156,TN22,A,49450M001,TDOT District 22,35 23 25.7,274 37 19.0,206.2
4157,TN25,A,77001P625,TDOT District 25,35 22 01.4,273 48 39.1,301.3
4158,TN31,A,77001P631,TDOT District 31,36 10 13.0,273 07 45.5,111.9
4159,TN33,A,77001P633,TDOT District 33,36 33 31.3,272 40 49.9,135.3
4160,TN34,A,77001P634,TDOT District 34,35 25 34.7,273 17 16.0,229.1
4161,TN35,A,77001P635,TDOT District 35,36 06 14.1,272 22 38.4,230.2
4162,TN37,A,77001P637,TDOT Columbia,35 36 13.7,272 54 22.2,192.7
4163,TN38,A,77001P638,TDOT Murfreesboro,35 53 46.0,273 33 22.6,140.1
4164,TN41,A,77001P641,TDOT District 41,36 07 34.9,271 29 14.1,115.2
4165,TN42,A,77001P642,TDOT District 42,36 08 12.5,270 45 06.6,94.3
4166,TN43,A,77001P643,TDOT District 43,35 13 42.8,271 23 45.8,121.1
4167,CHO5,A,77000P249,Chico 5,39 25 57.4,238 20 06.1,16.6
4168,CHO6,A,77000P250,Chico 6,39 25 58.3,238 20 06.4,17.2
4169,TN44,A,77001P644,TDOT District 44,35 38 25.5,271 04 51.3,91.1
4170,TN23,A,77001P623,TDOT District 23,35 55 10.7,275 00 02.4,526.2
4171,KYGB,A,77000P561,GREENBO LAKE SRP,38 28 50.2,277 07 35.9,183
4172,MCON,A,49633S001,McConnelsville,39 39 39.0,278 10 14.8,271.4
4173,STKR,A,49465M001,Stocker Ohio Universit,39 19 33.8,277 53 34.3,176.8
4174,MIMA,A,12273M001,Mason,42 33 51.3,275 32 53.4,249.8
4175,TN24,A,77001P624,TDOT District 24,36 08 03.7,274 30 02.1,308.3
4176,P707,A,77001P429,RedRockLakMT2008,44 43 07.5,248 09 46.2,2292.8
4177,LINH,A,49767M002,LIHN CORS Monument,47 00 01.2,239 27 41.3,472.3
4178,S300,A,77001P531,LLNL Site 300,37 39 59.4,238 26 30.2,495.7
4179,DCSO,A,77000P294,ROSEBURG COOP,43 12 39.6,236 39 30.5,136.8
4180,CHES,A,77000P243,CHESTER CNTY COOP,39 57 05.9,284 23 58.8,108.2
4181,LANC,A,77000P575,LANCASTER COOP,40 02 21.8,283 41 44.7,110.8
4182,DURH,A,77000P320,DURHAM COOP,35 59 46.1,281 06 01.9,116.1
4183,AZPG,A,77000P173,City of Page,36 54 31.2,248 32 14.3,1301.9
4184,COF1,A,77000P271,FERNLEY COOP,39 36 18.0,240 45 33.7,1251.9
4185,DOT1,A,77000P305,CARSON CITY COOP,39 09 22.3,240 14 11.6,1415.7
4186,RNO1,A,77001P522,NW RENO COOP,39 32 16.4,240 06 51.0,1530.6
4187,STEA,A,77001P592,STEAD COOP,39 37 31.9,240 06 58.7,1534.2
4188,ZOLE,A,77001P925,ZOLEZZI COOP,39 25 18.0,240 14 47.9,1357.3
4189,LOY4,A,77000P599,LOYOLA 4 COOP,39 06 46.3,282 26 10.1,74
4190,LOY8,A,77000P601,LOYOLA 8 COOP,38 16 58.7,282 32 50.5,-6.2
4191,LOYA,A,77000P603,LOYOLA A COOP,38 25 33.9,281 06 38.2,363.9
4192,LOYB,A,77000P604,LOYOLA B COOP,38 43 42.0,282 48 57.6,-2.8
4193,LOY1,A,77000P597,LOYOLA 1 COOP,37 03 43.8,283 35 47.6,-24.1
4194,SACR,A,77001P532,SACRAMENTO COOP,38 39 17.9,238 38 44.7,7
4195,AUBN,A,77000P154,AUBURN COOP,41 21 57.5,274 56 44.1,243.3
4196,LFLO,A,77000P588,FLORENCE COOP,43 59 00.9,235 53 32.2,-6.4
4197,LPSB,A,77000P624,LANE CNTY COOP,44 03 04.4,236 54 35.6,117.7
4198,MCSO,A,77000P665,MARION CNTY COOP,44 58 25.7,237 02 39.3,52.8
4199,STAY,A,77001P588,STAYTON COOP,44 49 50.5,237 10 44.9,110.9
