,Code,PT,DOMES,Description,Lat,Lon,Height
164,METS,A,10503S011,"Kirkkonummi, Finland",60 13 02.9,24 23 43.1,94.6
165,MAS1,A,31303M002,"Maspalomas, Spain",27 45 49.4,344 22 00.2,197.1
166,WES2,A,40440S020,"Westford, USA",42 36 48.0,288 30 24.0,85
167,FAIR,A,40408M001,"Fairbanks, USA",64 58 40.7,212 30 02.7,319
168,ASC1,A,30602M001,"Ascension Island, Asce",-7 57 04.3,345 35 16.5,105.1
169,KOUC,A,92727S001,"Koumac, New Caledonia",-20 33 31.2,164 17 14.4,84.1
170,KOK1,A,49896S001,Kokole Point 1,21 59 00.5,200 14 30.5,23.7
171,DHLG,A,49904M001,Durmid Hill,33 23 23.3,244 12 43.0,-83.1
172,JPLM,A,40400M007,"Pasadena, USA",34 12 17.3,241 49 36.3,424
173,UCLU,A,40140M001,Ucluelet,48 55 32.2,234 27 30.0,10.1
174,PENC,A,11206M006,PENC 11206M006,47 47 22.5,19 16 53.5,291.7
175,CFAG,A,41517S001,"Caucete, Argentina",-31 36 07.7,291 46 02.4,702.5
176,CSN1,A,49910S001,CSU Northridge,34 15 12.7,241 28 34.2,261.4
177,LAMA,A,12209M001,"Olsztyn, Poland",53 53 32.6,20 40 11.7,187
178,WES2,A,40440S020,"Westford, USA",42 36 48.0,288 30 24.0,85
179,NEB3,A,49855S003,Neebish Island 3,46 19 16.6,275 50 58.5,147.1
180,STB1,A,49861S001,Sturgeon Bay 1,44 47 43.7,272 41 08.4,148.8
181,UPO1,A,49895S001,Upolu Point 1,20 14 45.1,204 06 58.2,78.2
182,DGAR,A,30802M001,"Diego Garcia Island, U",-7 16 10.8,72 22 12.8,-64.9
183,SHK2,A,77001P573,Sandy Hook 2,40 28 17.4,285 59 17.3,-24.6
184,STL3,A,49865S003,St Louis 3,38 36 39.9,270 14 28.7,157.2
185,LEEP,A,49902M001,"Hollywood, CA",34 08 04.5,241 40 41.6,485
186,VCIO,A,49490M001,Vici,36 04 18.1,260 46 57.6,623.9
187,COSO,A,40469M001,"Coso Junction, USA",35 58 56.4,242 11 27.9,1455.1
188,MOB1,A,49863S001,Mobile Point 1,30 13 39.0,271 58 33.2,-18.6
189,HVLK,A,49879S001,Haviland,37 39 05.2,260 53 35.6,621.3
190,WHIT,A,40136M001,"WHITEHORSE, CANADA",60 45 01.8,224 46 40.3,1427.4
191,WES2,A,40440S020,"Westford, USA",42 36 48.0,288 30 24.0,85
192,VIC1,A,49869S001,Vicksburg 1,32 19 53.1,269 04 48.7,9.6
193,WHIT,A,40136M001,"WHITEHORSE, CANADA",60 45 01.8,224 46 40.3,1427.4
194,RIOP,A,42006M001,"Riobamba, Ecuador",-1 39 02.1,281 20 56.0,2817.2
195,GRAZ,A,11001M002,"Graz, Austria",47 04 01.6,15 29 36.5,538.3
196,MATE,A,12734M008,"Matera, Italy",40 38 56.8,16 42 16.0,535.6
197,BAHR,A,24901M002,BAHR 49010M002,26 12 32.9,50 36 29.3,-17.1
198,TIDB,A,50103M108,"Tidbinbilla, Australia",-35 23 57.1,148 58 47.9,665.3
199,TID1,A,50103M108,Tidbinbilla (Canberra),-35 23 57.1,148 58 47.9,665.3
200,AIS1,A,49998S001,Annette Island 1,55 04 08.6,228 24 01.6,32.2
201,KEW1,A,49864S001,Upper Keweenaw 1,47 13 37.4,271 22 32.4,163.6
202,MATE,A,12734M008,"Matera, Italy",40 38 56.8,16 42 16.0,535.6
203,ENG1,A,49866S001,English Turn 1,29 52 44.2,270 03 29.7,-18.6
204,SNI1,A,49909S001,San Nicolas Island,33 14 52.3,240 28 32.2,239.7
205,JPLM,A,40400M007,"Pasadena, USA",34 12 17.3,241 49 36.3,424
206,HBRK,A,77000P406,Hillsboro,38 18 16.7,262 42 23.3,412.6
207,AZU1,A,49911M001,"Azusa, Calif USA",34 07 33.6,242 06 12.6,144.7
208,STJO,A,40101M001,"ST. JOHN'S, CANADA",47 35 42.8,307 19 20.0,152.8
209,AIS1,A,49998S001,Annette Island 1,55 04 08.6,228 24 01.6,32.2
210,CICE,A,40508M001,"Cicese-Ensenada, Mexic",31 52 16.5,243 19 57.4,87.6
211,PBL2,A,77001P468,Point Blunt 2,37 51 11.6,237 34 50.1,-9.6
212,SPK1,A,40458M001,"Saddle Peak, CA",34 03 33.6,241 21 13.8,440.1
213,SAL1,A,49873S001,Sallisaw 1,35 22 01.4,265 11 00.2,129.5
214,PLO3,A,49886S003,Point Loma 3,32 39 55.5,242 45 25.0,-22.7
215,STP1,A,49870S001,St Paul 1,44 18 14.2,268 05 48.0,353.7
216,CCJM,A,21732S003,"Ogasawara, Japan",27 05 44.0,142 11 04.4,208.7
217,BRAZ,A,41606M001,"Brasilia, Brazil",-15 56 50.9,312 07 19.6,1106
218,VCAP,A,49844S001,Vermont Capital,44 15 43.1,287 25 03.4,159.4
219,UPO1,A,49895S001,Upolu Point 1,20 14 45.1,204 06 58.2,78.2
220,NDSK,A,49875S001,Neodesha,37 22 50.8,264 21 42.3,225.8
